particles,area,area_convex,axis_major_length,axis_minor_length,bbox-0,bbox-1,bbox-2,bbox-3,centroid-0,centroid-1,ECD,orientation,perimeter,largest_dimension,smallest_dim_area,Aspect Ratio,area_ratio,intermetallic,orientation_deg
30,1.7272727272727273,2.3636363636363638,4.580158152985323,0.5903529826818503,1385.0,10862.0,1478.0,10883.0,1436.5598086124403,10868.76913875598,1.4829807621497288,0.10549743387390342,11.936826047966655,4.197598683860071,0.4114906777329995,7.758338294792076,0.7307692307692307,2.0,83.95544228956484
31,0.09090909090909091,0.13429752066115702,0.5095322940622704,0.27066681384349894,1392.0,10890.0,1404.0,10898.0,1396.7954545454545,10893.954545454546,0.34021911986450504,0.4154151342255069,1.2509461490986957,0.549229362436117,0.1655211777204736,1.8825074519733507,0.676923076923077,2.0,66.19846606301786
32,62.799586776859506,104.85537190082644,18.298724240140356,6.825707168292851,1396.0,977.0,1753.0,1311.0,1604.5303503865766,1141.0702089159402,8.941975021063577,0.7963786332705489,56.434664786784694,20.071617640607442,3.1287755626536016,2.680853981715271,0.5989162561576356,2.0,44.37086541920078
33,0.0371900826446281,0.045454545454545456,0.3042153107545994,0.16348268476646163,1404.0,12024.0,1410.0,12029.0,1406.5555555555557,12026.166666666666,0.21760488021896326,0.41956671548695446,0.6490079360478191,0.26504326794751365,0.14031702420750725,1.86084117219617,0.8181818181818182,2.0,65.96059797843131
34,0.010330578512396695,0.014462809917355372,0.14545454545454548,0.1149919149152138,1405.0,10894.0,1408.0,10897.0,1406.0,10895.4,0.11468784191000729,1.5707963267948966,0.20064607101695886,0.10163945352271772,0.10163945352271771,1.264911064067352,0.7142857142857143,2.0,0.0
35,0.10950413223140495,0.13429752066115702,0.7701672615226425,0.19394077245636404,1414.0,12024.0,1429.0,12033.0,1421.2830188679245,12027.905660377359,0.37339656060137066,0.4831416475402725,1.5989849786210768,0.711476174659024,0.15391117247725825,3.9711467154021327,0.8153846153846154,2.0,62.31802268894521
36,0.024793388429752067,0.030991735537190084,0.26417569354791964,0.13886593015017698,1416.0,10897.0,1422.0,10901.0,1418.8333333333333,10898.333333333334,0.1776736406919709,-0.46364760900080604,0.46557457668724017,0.2447802185061138,0.10128836627839193,1.9023794624226837,0.8,2.0,63.43494882292201
37,0.30165289256198347,0.5041322314049587,1.8256752516778172,0.2924762720027688,1416.0,10911.0,1455.0,10921.0,1436.0753424657535,10915.671232876712,0.619738970530065,0.09402282806167468,4.014536597881574,1.7368157431402544,0.17368157431402548,6.242131162217952,0.5983606557377049,2.0,84.61288877418184
38,0.08884297520661157,0.10537190082644628,0.5462747971782433,0.21414363980071444,1419.0,7861.0,1431.0,7867.0,1424.7906976744187,7863.46511627907,0.33633077365145087,0.27976489248116504,1.2227043153005304,0.5182615568632445,0.17142497650091934,2.5509737187927484,0.8431372549019608,2.0,73.97065240489799
39,0.03305785123966942,0.03925619834710744,0.4286356774021199,0.10427717288696764,1427.0,10893.0,1435.0,10898.0,1429.875,10895.1875,0.20515984856282046,0.5271686908830704,0.4827872883436201,0.36646626128629767,0.09020707970124253,4.110541794863811,0.8421052631578947,2.0,59.79545892096335
40,0.030991735537190084,0.045454545454545456,0.3912936113879347,0.1381447925180089,1431.0,10921.0,1437.0,10928.0,1433.8,10923.466666666667,0.19864516919855985,0.7963613184468485,0.6019382130508766,0.32777738867854445,0.09455116981111861,2.8324890446878386,0.6818181818181818,2.0,44.37185748552183
41,0.010330578512396695,0.010330578512396695,0.14083575804390605,0.08131156281817417,1440.0,1869.0,1443.0,1871.0,1441.2,1869.6,0.11468784191000729,-0.3217505543966422,0.2366866718721158,0.10163945352271772,0.10163945352271771,1.732050807568877,1.0,2.0,71.56505117707799
42,0.010330578512396695,0.010330578512396695,0.14083575804390605,0.08131156281817417,1443.0,1861.0,1446.0,1863.0,1444.2,1861.6,0.11468784191000729,-0.3217505543966422,0.2366866718721158,0.10163945352271772,0.10163945352271771,1.732050807568877,1.0,2.0,71.56505117707799
43,0.10330578512396695,0.15495867768595042,1.1623098324234207,0.1304201179682342,1445.0,1837.0,1454.0,1860.0,1449.22,1848.52,0.3626748003649388,-1.2773091438681023,1.9986619431125974,1.0493996709650177,0.09844274586913863,8.912044019976419,0.6666666666666666,2.0,16.815576922889264
44,0.047520661157024795,0.0743801652892562,0.7581937092151605,0.08837625026156769,1456.0,1805.0,1462.0,1819.0,1458.9565217391305,1811.2608695652175,0.24597801726390953,-1.2572894482403556,1.0642824346533226,0.6331085580538236,0.07505926203730899,8.579156809336562,0.6388888888888888,2.0,17.96262098949566
45,0.09504132231404959,0.12396694214876033,0.8601629597908281,0.15485804662357713,1457.0,10419.0,1474.0,10425.0,1465.0652173913043,10421.326086956522,0.34786544806026415,0.2276467433162284,1.631795224391439,0.7619570279200096,0.12473317894775957,5.554525441494677,0.7666666666666667,2.0,76.95680238808214
46,0.028925619834710745,0.03305785123966942,0.3053687094162301,0.12191233679858247,1459.0,10903.0,1466.0,10906.0,1462.0714285714287,10904.285714285714,0.1919094657111251,-0.13057839612247069,0.5376557783975541,0.2764892059226463,0.10461753737613648,2.504822050296232,0.875,2.0,82.518409006595
47,0.012396694214876033,0.012396694214876033,0.1484539238050411,0.09090909090909091,1460.0,10899.0,1463.0,10901.0,1461.0,10899.5,0.12563423617139471,0.0,0.2727272727272727,0.10163945352271772,0.12196734422726126,1.632993161855452,1.0,2.0,90.0
48,0.05991735537190083,0.07024793388429752,0.3770899161529179,0.21339446881787952,1463.0,10827.0,1471.0,10833.0,1466.1724137931035,10829.655172413793,0.27620489907938633,0.28283438626697466,0.904522497118712,0.3309140858763872,0.1810661979323628,1.767102578814934,0.8529411764705882,2.0,73.79478336572946
